molregno,canonical_smiles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumAliphaticCarbocycles,NOCount,NumSaturatedRings,NumAromaticCarbocycles,NHOHCount,RingCount,NumRotatableBonds,NumAromaticHeterocycles,NumSaturatedCarbocycles,NumHeteroatoms,NumAliphaticRings,FractionCSP3,HeavyAtomCount,NumAromaticRings,NumHAcceptors,NumHDonors
1480703,C1Oc2ccc(Oc3ccc(\C=N\Nc4nc5ccccc5s4)cc3)cc2O1,0,1,0,6,0,3,1,5,5,1,0,7,1,0.04762,28,4,7,1
1480704,O=C1Nc2ccccc2/C/1=N/Nc3nc4ccccc4s3,0,1,0,5,0,2,2,4,2,1,0,6,1,0.00000,21,3,5,2
1480705,O=C(CSc1nc2ccccc2s1)N\N=C\c3ccc(Oc4ccccc4)cc3,0,0,0,5,0,3,1,4,7,1,0,7,0,0.04545,29,4,6,1
1480706,[O-][N+](=O)c1ccc(Oc2ccc(\C=N\NC(=O)CSc3nc4ccccc4s3)cc2)cc1,0,0,0,8,0,3,1,4,8,1,0,10,0,0.04545,32,4,8,1
1480707,Cc1ccc(Oc2ccc(\C=N\NC(=O)CSc3nc4ccccc4s3)cc2)cc1,0,0,0,5,0,3,1,4,7,1,0,7,0,0.08696,30,4,6,1
1480708,Clc1ccc(Oc2ccc(\C=N\NC(=O)CSc3nc4ccccc4s3)cc2)cc1,0,0,0,5,0,3,1,4,7,1,0,8,0,0.04545,30,4,6,1
1480709,Brc1ccc(Oc2ccc(\C=N\NC(=O)CSc3nc4ccccc4s3)cc2)cc1,0,0,0,5,0,3,1,4,7,1,0,8,0,0.04545,30,4,6,1
1480710,Fc1ccc(Oc2ccc(\C=N\NC(=O)CSc3nc4ccccc4s3)cc2)cc1,0,0,0,5,0,3,1,4,7,1,0,8,0,0.04545,30,4,6,1
1480711,Cc1cc(Oc2ccc(\C=N\NC(=O)CSc3nc4ccccc4s3)cc2)ccc1Cl,0,0,0,5,0,3,1,4,7,1,0,8,0,0.08696,31,4,6,1
1480712,O=C(CSc1nc2ccccc2s1)N\N=C\c3ccc(Oc4ccc5ccccc5c4)cc3,0,0,0,5,0,4,1,5,7,1,0,7,0,0.03846,33,5,6,1
1480713,O=C(CSc1nc2ccccc2s1)N\N=C\c3ccc(Oc4ccc5OCOc5c4)cc3,0,1,0,7,0,3,1,5,7,1,0,9,1,0.08696,32,4,8,1
1480714,NNC(=O)COc1ccc2ccccc2c1,0,0,0,4,0,2,3,2,3,0,0,4,0,0.08333,16,2,3,2
1480715,O=C(COc1cccc2ccccc12)N\N=C\C=C\c3ccccc3,0,0,0,4,0,3,1,3,6,0,0,4,0,0.04762,25,3,3,1
1480733,CO[C@@H]1[C@H]2OC(C)(C)O[C@H]2O[C@@H]1[C@@H]3CC(=O)N(C(=O)N3Cc4ccc(OC)cc4)c5cccc(c5)C(=O)C,3,3,0,10,3,2,0,5,7,0,0,10,3,0.46429,38,2,8,0
1480716,Oc1ccc2ccccc2c1\C=N\NC(=O)COc3cccc4ccccc34,0,0,0,5,0,4,2,4,5,0,0,5,0,0.04348,28,4,4,2
1480717,O=C(COc1cccc2ccccc12)N\N=C\c3c[nH]c4ccccc34,0,0,0,5,0,3,2,4,5,1,0,5,0,0.04762,26,4,3,2
1480718,C\C(=N/NC(=O)COc1cccc2ccccc12)\c3ccccc3,0,0,0,4,0,3,1,3,5,0,0,4,0,0.10000,24,3,3,1
1480719,C\C(=N/NC(=O)COc1cccc2ccccc12)\c3ccc(Cl)cc3,0,0,0,4,0,3,1,3,5,0,0,5,0,0.10000,25,3,3,1
