Hit,Smiles
1345879,O=C1\C(=C\c2ccsc2)\CCC/C/1=C\c3ccsc3
1345880,O=C1\C(=C\c2ccsc2)\CC/C/1=C\c3ccsc3
1345881,O=C1\C(=C\c2ccsc2)\COC/C/1=C\c3ccsc3
1345882,O=C1\C(=C\c2ccsc2)\CSC/C/1=C\c3ccsc3
1345883,Clc1ccc(OCC2=Nc3ccccc3C(=O)N2NC(=O)CSC4=NC(=C(C#N)C(=O)N4)c5ccccc5)c(Cl)c1
1345884,Clc1ccc(cc1)C2=C(C#N)C(=O)NC(=N2)SCC(=O)NN3C(=Nc4ccccc4C3=O)COc5ccc(Cl)cc5Cl
1360776,CC1=C[C@H](OC1=O)c2cccs2
1345888,OC(=O)C1=C(N=C(NC1=O)SCC(=O)NN2C(=Nc3ccccc3C2=O)COc4ccc(Cl)cc4Cl)c5ccc(O)cc5
1345889,CN1C(=NC(=C(C#N)C1=O)c2ccccc2)SCC(=O)NN3C(=Nc4ccccc4C3=O)COc5ccc(Cl)cc5Cl
1345890,Clc1ccc(OCC2=Nc3ccccc3C(=O)N2NC(=O)CSC4=NC(=C(C#N)C(=O)N4Cc5ccccc5)c6ccccc6)c(Cl)c1
1345891,CN1C(=O)C(=C(N=C1SCC(=O)NN2C(=Nc3ccccc3C2=O)COc4ccc(Cl)cc4Cl)c5ccc(Cl)cc5)C#N
1345892,Clc1ccc(cc1)C2=C(C#N)C(=O)N(Cc3ccccc3)C(=N2)SCC(=O)NN4C(=Nc5ccccc5C4=O)COc6ccc(Cl)cc6Cl
1345893,CN1C(=O)C(=C(N=C1SCC(=O)NN2C(=Nc3ccccc3C2=O)COc4ccc(Cl)cc4Cl)c5ccc(O)cc5)C#N
1345894,Oc1ccc(cc1)C2=C(C#N)C(=O)N(Cc3ccccc3)C(=N2)SCC(=O)NN4C(=Nc5ccccc5C4=O)COc6ccc(Cl)cc6Cl
1345895,Clc1ccc(OCC2=Nc3ccccc3C(=O)N2NC(=O)CSc4nc(Cl)c(C#N)c(n4)c5ccccc5)c(Cl)c1
1345896,Clc1ccc(cc1)c2nc(SCC(=O)NN3C(=Nc4ccccc4C3=O)COc5ccc(Cl)cc5Cl)nc(Cl)c2C#N
1345897,Oc1ccc(cc1)c2nc(SCC(=O)NN3C(=Nc4ccccc4C3=O)COc5ccc(Cl)cc5Cl)nc(Cl)c2C#N
1345898,Clc1ccc(OCC2=Nc3ccccc3C(=O)N2NC(=O)CSc4nc(Nc5ccccc5)c(C#N)c(n4)c6ccccc6)c(Cl)c1
1345899,Clc1ccc(Nc2nc(SCC(=O)NN3C(=Nc4ccccc4C3=O)COc5ccc(Cl)cc5Cl)nc(c6ccccc6)c2C#N)cc1
1345900,Oc1ccc(Nc2nc(SCC(=O)NN3C(=Nc4ccccc4C3=O)COc5ccc(Cl)cc5Cl)nc(c6ccccc6)c2C#N)cc1
1345901,Clc1ccc(cc1)c2nc(SCC(=O)NN3C(=Nc4ccccc4C3=O)COc5ccc(Cl)cc5Cl)nc(Nc6ccccc6)c2C#N
1345902,Clc1ccc(Nc2nc(SCC(=O)NN3C(=Nc4ccccc4C3=O)COc5ccc(Cl)cc5Cl)nc(c6ccc(Cl)cc6)c2C#N)cc1
1345903,Oc1ccc(Nc2nc(SCC(=O)NN3C(=Nc4ccccc4C3=O)COc5ccc(Cl)cc5Cl)nc(c6ccc(Cl)cc6)c2C#N)cc1
1345904,Oc1ccc(cc1)c2nc(SCC(=O)NN3C(=Nc4ccccc4C3=O)COc5ccc(Cl)cc5Cl)nc(Nc6ccccc6)c2C#N
1345905,CC(C)Cc1ccc(cc1)C(C)c2nc3ccccc3n2CC(=O)O
1345906,CC(C)Cc1ccc(Cc2nc3ccccc3n2Cc4ccccc4Cl)cc1
1346052,COC(=O)c1ncn(C[C@H](O)[C@H]2OC(=O)C(=C2OCc3ccccc3)OCc4ccccc4)n1
1345907,COC(=O)Cn1c(nc2ccccc12)C(C)c3ccc(CC(C)C)cc3
1345908,CC(C)Cc1ccc(cc1)C(C)(C)c2nc3ccccc3n2Cc4ccccc4Cl
1345909,CC(c1ccc(C)cc1)c2nc3ccccc3n2Cc4ccccc4Cl
1345910,CC(c1ccc(cc1)C(=O)c2ccccc2)c3nc4ccccc4n3Cc5ccccc5Cl
1345921,CCCCNc1nc(N)nc2c1ncn2\C=C/3\CC3(CO)CO
1345911,COc1ccc2c(c1)nc(C(C)c3ccc(CC(C)C)cc3)n2Cc4ccccc4Cl
1345912,CC(C)Cc1ccc(cc1)C(C)c2nc3cc(O)ccc3n2Cc4ccccc4Cl
1345913,CC(C)Cc1ccc(cc1)C(C)c2nc3cc(OCc4ccccn4)ccc3n2Cc5ccccc5Cl
